Alt;Neu
Welcome to Camden Town!;Welcome
At school;1/A
Monday, Monday;1/A
George’s first day at school;1/B
Caroline’s first day at school;1/C
At home;2/A
My day;2/A
Friday afternoon;2/B
The sleepover;2/C
Birthdays;3/A
Around the year;3/A
Charlie’s birthday party;3/B
Charlie’s birthday;3/C
Free time;4/A
A canal boat trip;4/A
Saturday afternoon;4/B
At Camden Lock Market;4/C
Pets;5/A
Animal world;5/A
A new home?;5/B
Pet stories;5/C
Holidays;6/A
Holidays in Britain;6/A
Holiday plans;6/B
Going on holiday;6/C
