1/B11;I;grandfather;['grandfather']
1/B11;I;them;['them']
1/B11;I;mother;['mother']
1/B11;I;son;['son']
1/B11;I;daughter;['daughter']
1/B11;I;cousin;['cousin']
1/B11;I;husband;['husband']
1/B11;I;wife;['wife']
1/B12;I;more;['more']
1/B13;I;your;['your']
1/B13;I;our;['our']
1/B13;I;their;['their']
1/B13;I;to have;['have']
1/B13;I;house;['house']
1/B13;I;its;['it']
1/B14;I;German;['German']
1/C1;I;library;['library']
1/C1;I;gym;['gym']
1/C1;I;sports ground;['sport', 'ground']
1/C1;I;IT room;['IT', 'room']
1/C1;I;assembly hall;['assembly', 'hall']
1/C1;I;science lab(oratory);['science', 'lab']
1/C2;I;classroom;['classroom']
1/C2;I;to do;['do']
1/C2;I;to have lunch;['have', 'lunch']
1/C2;I;lunch;['lunch']
1/C4;I;dialogue;['dialogue']
1/C4;I;IT (no pl) (= information technology);['IT', '=', 'information', 'technology']
1/C4;I;to look;['look']
1/C4;I;puzzle;['puzzle']
1/C4;I;Tuesday;['Tuesday']
1/C4;I;Wednesday;['Wednesday']
1/C4;I;technology;['technology']
1/C4;I;Thursday;['Thursday']
1/C4;I;Friday;['Friday']
1/C4;I;German;['German']
1/C4;I;Saturday;['Saturday']
1/C4;I;Sunday;['Sunday']
1/C4;I;week;['week']
1/C7;I;to give;['give']
1/C7;I;to sit down;['sit', 'down']
1/C7;I;to put;['put']
1/C8;I;phrase;['phrase']
1/C8;I;her;['her']
1/C9;I;rule;['rule']
1/C9;I;teacher;['teacher']
1/C9;I;homework (no pl);['homework']
1/C11;I;activity;['activity']
1/C11;I;pupil;['pupil']
1/C11;I;to draw;['draw']
1/C11;I;of;['of']
1/C11;I;feedback;['feedback']
2/A;I;at home;['at', 'home']
2/A1;I;am (= ante meridiem);['am']
2/A1;I;pm (= post meridiem);['pm']
2/A1;I;to be fun;['be', 'fun']
2/A1;I;night;['night']
2/A1;I;verse;['verse']
2/A1;I;to go with;['go', 'with']
2/A1;I;(one) o'clock;"[""o'clock""]"
2/A2;I;hour;['hour']
2/A2;I;minute;['minute']
2/A2;I;quarter of an hour;['quarter', 'of', 'an', 'hour']
2/A2;I;half an hour;['half', 'an', 'hour']
2/A2;I;to mean;['mean']
2/A3;I;to think of;['think', 'of']
2/A3;I;to think;['think']
2/A3;I;to work;['work']
2/A4;I;in the morning;['in', 'the', 'morning']
2/A4;I;to have breakfast;['have', 'breakfast']
2/A4;I;breakfast;['breakfast']
2/A4;I;in the afternoon;['in', 'the', 'afternoon']
2/A4;I;afternoon;['afternoon']
