_id;Chapter;Book;Page;Sentence;Tagged;Mapped;Lemma
23;Welcome;I;10;I’m eleven.;[('I’m', 'NNP'), ('eleven', 'RB'), ('.', '.')];{'eleven': ['eleven'], '.': ['.'], 'I’m': ['I’m']};['I’m', 'eleven', '.']
24;Welcome;I;10;Boring!;[('Boring', 'NN'), ('!', '.')];{'!': ['!'], 'Boring': ['Boring']};['Boring', '!']
25;Welcome;I;10;We’re eleven, too.;[('We’re', 'NNP'), ('eleven', 'RB'), (',', ','), ('too', 'RB'), ('.', '.')];{'eleven': ['eleven'], '.': ['.'], 'too': ['too'], ',': [','], 'We’re': ['We’re']};['We’re', 'eleven', ',', 'too', '.']
26;Welcome;I;10;We’re twins.;[('We’re', 'NNP'), ('twins', 'NNS'), ('.', '.')];{'.': ['.'], 'twin': ['twins'], 'We’re': ['We’re']};['We’re', 'twin', '.']
27;Welcome;I;10;Boring!;[('Boring', 'NN'), ('!', '.')];{'!': ['!'], 'Boring': ['Boring']};['Boring', '!']
28;Welcome;I;11;Talk to a partner.;[('Talk', 'NN'), ('to', 'TO'), ('a', 'DT'), ('partner', 'NN'), ('.', '.')];{'Talk': ['Talk'], 'a': ['a'], '.': ['.'], 'partner': ['partner'], 'to': ['to']};['Talk', 'to', 'a', 'partner', '.']
29;Welcome;I;11;What about you?;[('What', 'WP'), ('about', 'IN'), ('you', 'PRP'), ('?', '.')];{'you': ['you'], '?': ['?'], 'What': ['What'], 'about': ['about']};['What', 'about', 'you', '?']
30;Welcome;I;11;My name is Leon.;[('My', 'PRP$'), ('name', 'NN'), ('is', 'VBZ'), ('Leon', 'NNP'), ('.', '.')];{'Leon': ['Leon'], 'My': ['My'], 'name': ['name'], '.': ['.'], 'is': ['is']};['My', 'name', 'is', 'Leon', '.']
31;Welcome;I;11;I’m ten.;[('I’m', 'NNP'), ('ten', 'NN'), ('.', '.')];{'ten': ['ten'], '.': ['.'], 'I’m': ['I’m']};['I’m', 'ten', '.']
32;Welcome;I;11;I’m from Münster.;[('I’m', 'NN'), ('from', 'IN'), ('Münster', 'NNP'), ('.', '.')];{'.': ['.'], 'from': ['from'], 'Münster': ['Münster'], 'I’m': ['I’m']};['I’m', 'from', 'Münster', '.']
33;Welcome;I;11;I like dogs.;[('I', 'PRP'), ('like', 'VBP'), ('dogs', 'NNS'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'like': ['like'], 'dog': ['dogs']};['I', 'like', 'dog', '.']
34;Welcome;I;11;I don’t like fish.;[('I', 'PRP'), ('don’t', 'VBP'), ('like', 'IN'), ('fish', 'NN'), ('.', '.')];{'.': ['.'], 'I': ['I'], 'fish': ['fish'], 'like': ['like'], 'don’t': ['don’t']};['I', 'don’t', 'like', 'fish', '.']
35;Welcome;I;11;My hobby is reading.;[('My', 'PRP$'), ('hobby', 'NN'), ('is', 'VBZ'), ('reading', 'VBG'), ('.', '.')];{'.': ['.'], 'My': ['My'], 'hobby': ['hobby'], 'is': ['is'], 'reading': ['reading']};['My', 'hobby', 'is', 'reading', '.']
36;Welcome;I;11;My favourite band is The Black Eyed Peas.;[('My', 'PRP$'), ('favourite', 'JJ'), ('band', 'NN'), ('is', 'VBZ'), ('The', 'DT'), ('Black', 'NNP'), ('Eyed', 'NNP'), ('Peas', 'NNP'), ('.', '.')];{'Peas': ['Peas'], 'band': ['band'], 'My': ['My'], 'Eyed': ['Eyed'], 'The': ['The'], 'Black': ['Black'], '.': ['.'], 'is': ['is'], 'favourite': ['favourite']};['My', 'favourite', 'band', 'is', 'The', 'Black', 'Eyed', 'Peas', '.']
37;Welcome;I;11;My favourite sport is basketball.;[('My', 'PRP$'), ('favourite', 'JJ'), ('sport', 'NN'), ('is', 'VBZ'), ('basketball', 'NN'), ('.', '.')];{'sport': ['sport'], 'My': ['My'], 'basketball': ['basketball'], '.': ['.'], 'is': ['is'], 'favourite': ['favourite']};['My', 'favourite', 'sport', 'is', 'basketball', '.']
38;Welcome;I;11;My phone number is 75862481.;[('My', 'PRP$'), ('phone', 'NN'), ('number', 'NN'), ('is', 'VBZ'), ('75862481', 'CD'), ('.', '.')];{'.': ['.'], 'My': ['My'], '75862481': ['75862481'], 'phone': ['phone'], 'number': ['number'], 'is': ['is']};['My', 'phone', 'number', 'is', '75862481', '.']
39;Welcome;I;11;Are you Lisa?;[('Are', 'NNP'), ('you', 'PRP'), ('Lisa', 'NNP'), ('?', '.')];{'you': ['you'], 'Lisa': ['Lisa'], 'Are': ['Are'], '?': ['?']};['Are', 'you', 'Lisa', '?']
40;Welcome;I;11;Take one.;[('Take', 'VB'), ('one', 'CD'), ('.', '.')];{'Take': ['Take'], '.': ['.'], 'one': ['one']};['Take', 'one', '.']
41;Welcome;I;12;The song of the ABC;[('The', 'DT'), ('song', 'NN'), ('of', 'IN'), ('the', 'DT'), ('ABC', 'NNP')];{'ABC': ['ABC'], 'of': ['of'], 'The': ['The'], 'song': ['song'], 'the': ['the']};['The', 'song', 'of', 'the', 'ABC']
42;Welcome;I;12;Come on children, sing it out.;[('Come', 'NNP'), ('on', 'IN'), ('children', 'NNS'), (',', ','), ('sing', 'VBG'), ('it', 'PRP'), ('out', 'RP'), ('.', '.')];{'.': ['.'], 'sing': ['sing'], 'out': ['out'], 'on': ['on'], ',': [','], 'child': ['children'], 'Come': ['Come'], 'it': ['it']};['Come', 'on', 'child', ',', 'sing', 'it', 'out', '.']
43;Welcome;I;12;Come on children, sing it loud.;[('Come', 'NNP'), ('on', 'IN'), ('children', 'NNS'), (',', ','), ('sing', 'VBG'), ('it', 'PRP'), ('loud', 'JJ'), ('.', '.')];{'.': ['.'], 'sing': ['sing'], 'loud': ['loud'], 'on': ['on'], ',': [','], 'child': ['children'], 'Come': ['Come'], 'it': ['it']};['Come', 'on', 'child', ',', 'sing', 'it', 'loud', '.']
44;Welcome;I;12;Come on children, sing with me.;[('Come', 'NNP'), ('on', 'IN'), ('children', 'NNS'), (',', ','), ('sing', 'VBG'), ('with', 'IN'), ('me', 'PRP'), ('.', '.')];{'me': ['me'], 'sing': ['sing'], 'on': ['on'], ',': [','], 'child': ['children'], 'Come': ['Come'], '.': ['.'], 'with': ['with']};['Come', 'on', 'child', ',', 'sing', 'with', 'me', '.']
45;Welcome;I;12;This is the song of the ABC.;[('This', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('song', 'NN'), ('of', 'IN'), ('the', 'DT'), ('ABC', 'NNP'), ('.', '.')];{'.': ['.'], 'of': ['of'], 'ABC': ['ABC'], 'the': ['the', 'the'], 'song': ['song'], 'This': ['This'], 'is': ['is']};['This', 'is', 'the', 'song', 'of', 'the', 'ABC', '.']
46;Welcome;I;12;"A B C D – E F and a G H I J K – oh, so far 1 it is OK. L M N O P – Q R S and T U V W – X Y Z That’s
            the alphabet.
        ";[('A', 'DT'), ('B', 'NNP'), ('C', 'NNP'), ('D', 'NNP'), ('–', 'NNP'), ('E', 'NNP'), ('F', 'NNP'), ('and', 'CC'), ('a', 'DT'), ('G', 'NNP'), ('H', 'NNP'), ('I', 'PRP'), ('J', 'NNP'), ('K', 'NNP'), ('–', 'NNP'), ('oh', 'UH'), (',', ','), ('so', 'RB'), ('far', 'RB'), ('1', 'CD'), ('it', 'PRP'), ('is', 'VBZ'), ('OK.', 'NNP'), ('L', 'NNP'), ('M', 'NNP'), ('N', 'NNP'), ('O', 'NNP'), ('P', 'NNP'), ('–', 'NNP'), ('Q', 'NNP'), ('R', 'NNP'), ('S', 'NNP'), ('and', 'CC'), ('T', 'NNP'), ('U', 'NNP'), ('V', 'NNP'), ('W', 'NNP'), ('–', 'NNP'), ('X', 'NNP'), ('Y', 'NNP'), ('Z', 'NNP'), ('That’s', 'NNP'), ('the', 'DT'), ('alphabet', 'NN'), ('.', '.')];{'a': ['a'], 'far': ['far'], 'alphabet': ['alphabet'], 'O': ['O'], 'W': ['W'], 'N': ['N'], 'Y': ['Y'], 'R': ['R'], 'OK.': ['OK.'], 'it': ['it'], '1': ['1'], 'X': ['X'], '–': ['–', '–', '–', '–'], 'S': ['S'], 'U': ['U'], 'so': ['so'], 'K': ['K'], ',': [','], 'T': ['T'], 'C': ['C'], 'V': ['V'], 'is': ['is'], 'Z': ['Z'], 'Q': ['Q'], 'I': ['I'], 'F': ['F'], 'oh': ['oh'], 'and': ['and', 'and'], 'P': ['P'], 'J': ['J'], 'B': ['B'], '.': ['.'], 'M': ['M'], 'A': ['A'], 'G': ['G'], 'E': ['E'], 'the': ['the'], 'L': ['L'], 'D': ['D'], 'H': ['H'], 'That’s': ['That’s']};['A', 'B', 'C', 'D', '–', 'E', 'F', 'and', 'a', 'G', 'H', 'I', 'J', 'K', '–', 'oh', ',', 'so', 'far', '1', 'it', 'is', 'OK.', 'L', 'M', 'N', 'O', 'P', '–', 'Q', 'R', 'S', 'and', 'T', 'U', 'V', 'W', '–', 'X', 'Y', 'Z', 'That’s', 'the', 'alphabet', '.']
47;Welcome;I;12;Hey everybody, sing once more.;[('Hey', 'NNP'), ('everybody', 'NN'), (',', ','), ('sing', 'VBG'), ('once', 'RB'), ('more', 'RBR'), ('.', '.')];{'once': ['once'], '.': ['.'], 'more': ['more'], 'sing': ['sing'], ',': [','], 'Hey': ['Hey'], 'everybody': ['everybody']};['Hey', 'everybody', ',', 'sing', 'once', 'more', '.']
48;Welcome;I;12;Sing it as we’ve done before.;[('Sing', 'VBG'), ('it', 'PRP'), ('as', 'IN'), ('we’ve', 'NN'), ('done', 'VBN'), ('before', 'RB'), ('.', '.')];{'a': ['as'], '.': ['.'], 'before': ['before'], 'Sing': ['Sing'], 'we’ve': ['we’ve'], 'it': ['it'], 'done': ['done']};['Sing', 'it', 'a', 'we’ve', 'done', 'before', '.']
49;Welcome;I;12;Come on, everybody now, don’t forget this rock song of the alphabet.;[('Come', 'NNP'), ('on', 'IN'), (',', ','), ('everybody', 'NN'), ('now', 'RB'), (',', ','), ('don’t', 'VB'), ('forget', 'VB'), ('this', 'DT'), ('rock', 'NN'), ('song', 'NN'), ('of', 'IN'), ('the', 'DT'), ('alphabet', 'NN'), ('.', '.')];{'now': ['now'], 'this': ['this'], 'Come': ['Come'], 'everybody': ['everybody'], 'on': ['on'], 'forget': ['forget'], 'don’t': ['don’t'], '.': ['.'], 'alphabet': ['alphabet'], 'the': ['the'], 'of': ['of'], ',': [',', ','], 'rock': ['rock'], 'song': ['song']};['Come', 'on', ',', 'everybody', 'now', ',', 'don’t', 'forget', 'this', 'rock', 'song', 'of', 'the', 'alphabet', '.']
